accel_x,accel_y,accel_z,encoder_a,encoder_b
-8.01,5.72,0.02,6412,518
-9.74,1.09,-1.15,7642,14951
-9.84,0.00,0.38,8206,11269
-9.85,0.31,-0.26,8242,7437
-9.79,0.06,1.03,7800,3688
-9.82,0.85,-0.18,7804,16299
-9.72,-0.17,1.45,8514,12549
-9.05,3.82,0.55,9251,8883
-6.87,1.29,-7.01,10289,4959
-1.32,-8.96,-3.76,11991,1255
2.96,-6.04,7.12,13140,14353
8.60,2.37,4.16,15203,11303
9.18,-3.49,0.37,1240,7968
3.28,-3.26,8.66,3385,5132
-5.05,5.59,6.26,5625,2313
-9.77,-1.31,0.16,8652,16219
-2.69,-5.83,7.39,11758,14308
7.88,1.00,5.79,14875,12106
8.71,-4.22,-1.64,1441,9193
1.80,-7.08,6.53,3744,6377
-5.79,2.26,7.57,5744,3442
-9.55,2.43,-0.30,7426,16223
-9.80,-0.32,1.03,8427,12569
-7.62,5.59,2.64,10049,9318
-1.07,6.05,-7.72,12225,5834
6.29,-4.63,-5.92,14136,2372
9.72,-1.38,0.44,15989,15739
9.58,0.10,-2.26,524,12061
9.23,-3.35,-0.09,898,8197
9.75,0.01,1.33,308,4502
