accel_x,accel_y,accel_z,encoder_a,encoder_b
-7.67,4.58,-3.94,6355,14130
-7.05,6.70,-0.03,6089,16035
-3.81,1.49,8.72,5100,3306
0.46,-8.58,4.40,4002,6657
3.91,-6.25,-6.57,3058,9963
4.88,5.85,-6.61,2726,13918
4.24,6.70,5.99,2948,1731
0.94,-5.36,8.01,3953,5353
-2.41,-8.91,-2.88,4828,8655
-7.49,-0.02,-6.26,6369,12027
-9.48,1.58,-0.22,7655,15898
-8.29,-2.24,-4.46,9608,2741
-1.49,5.44,-8.20,12052,5418
9.26,3.99,-0.79,15657,7574
6.98,-5.67,-4.24,2339,9619
-1.08,1.00,-9.82,4525,12467
-8.08,5.26,-1.04,6741,15863
-9.32,-1.38,-1.92,8891,2426
-3.12,2.45,-9.08,11627,4655
9.26,3.15,-2.59,15573,6085
4.90,-7.35,4.21,3036,6496
-7.27,-5.26,3.20,6521,6354
-7.52,4.03,-4.76,10119,5647
5.57,2.35,-8.05,13987,4468
9.04,-0.14,4.32,1496,3943
-2.58,1.25,9.23,5067,3423
-9.56,-0.63,-0.72,8581,1945
-0.79,-8.42,-4.82,12231,1007
10.00,-1.02,-0.60,16206,505
2.30,9.23,2.83,3675,494
-8.88,3.81,0.11,7216,16118
-6.27,-5.90,4.08,10454,14325
2.58,0.38,9.44,12982,11732
7.89,6.21,0.99,14721,8167
9.91,-0.71,1.58,659,4887
5.13,4.84,7.01,2808,2026
-1.90,9.36,-2.60,4575,15025
-5.91,-1.59,-7.63,5813,11115
-6.99,-6.53,0.11,6275,7486
-8.31,-0.86,4.58,6833,3912
-9.40,1.95,0.51,7571,143
-9.59,0.12,-0.68,7953,12677
-9.55,0.81,0.38,8415,8905
-8.56,2.64,-3.79,9425,5175
-5.84,-5.70,-5.24,10549,1386
0.75,-8.89,3.70,12432,14701
3.57,1.39,9.06,13185,11281
3.97,9.17,-0.65,13331,7334
4.51,-0.96,-8.88,13476,3074
4.43,-8.73,-0.22,13333,15785
7.14,-1.71,6.66,14294,12434
10.10,0.29,-0.28,51,8978
6.00,-6.63,4.09,2592,6177
-5.88,-3.88,6.42,5911,4941
-8.50,0.93,-4.61,9490,4143
3.10,-1.61,-9.34,13264,2982
9.99,1.25,0.76,494,1480
1.05,9.06,3.75,3937,410
-8.48,3.82,-2.81,6887,14151
-9.41,0.40,1.68,8668,10926
-6.16,7.52,0.70,10511,7809
0.33,2.44,-9.67,12367,4070
6.55,-6.51,-3.61,14096,653
9.90,-1.18,1.23,15822,13922
8.84,-1.85,-4.42,1328,10398
4.96,-8.22,1.91,2832,6953
-2.06,-2.54,9.06,4789,4132
-7.53,5.24,3.01,6392,668
-9.12,1.79,-2.73,7242,13190
-8.81,-3.01,-2.43,7067,9213
-8.78,-2.82,2.40,7076,5558
-9.11,1.71,2.41,7281,1593
-9.44,1.62,-1.09,7558,14169
-8.81,-1.74,-3.58,6924,10263
-5.75,-7.47,1.59,5620,6806
1.96,-2.51,9.21,3480,4066
6.30,6.78,3.85,2153,489
8.47,3.43,-4.37,1386,12960
8.62,-3.84,-3.33,1422,8931
9.65,-2.02,1.80,639,5475
10.08,0.44,0.01,16223,1690
9.42,-3.14,1.34,15127,14540
3.09,-0.37,9.30,12869,11627
-6.16,6.50,3.68,10279,8750
-9.59,0.42,-0.61,8225,5388
-8.35,1.60,4.37,6648,2248
-2.34,9.56,-0.49,4554,15499
4.87,2.36,-8.48,2526,12023
9.51,-2.38,-2.15,696,8985
7.56,6.15,-2.66,14339,6261
-1.27,-1.24,-9.74,11767,2883
-6.69,-6.64,-1.85,10032,16257
-9.54,-0.61,0.49,8210,13281
-7.10,-4.11,-5.16,6059,9689
1.10,-9.46,1.71,3743,6867
7.72,-2.32,5.79,1586,4353
9.16,-2.20,-3.51,14960,1571
2.00,-9.34,1.73,12557,15025
-6.05,-1.95,7.12,10284,12080
-9.13,2.67,1.37,8895,8559
-9.43,-1.08,1.19,7587,4895
